bitstring,occurences,rxn_count
11000010000100000010001000000010100010000001000100000000010001000001001000000000011000000000100010000001001100100010011001000001001100100010011001000000110111100001101110100001111111111111111,31,63
11000001001100000010001000000001100010000001000100000000010001000000100010000000010001000000100010000001001100000010101001000001001100100010011001000000101011010001101110100001111111111111111,29,62
11000010000100000100001000000100100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,23,61
11000010000100000010001000000100100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,129,61
11000001001000000010001000000001100010000001000100000000010001000000100010000000010001000000100010000001000100100010101001000001001100100010011000000000111011010001101111000011111111101111111,29,61
11000010000100000010001000000100100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110111010001110110100001111111111111111,32,62
11000010000100000010010000000001100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,25,61
11000010000100000010001000000100100010000001000100000000010001000000100010000000010001000000100010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,37,61
11000010000100000010001000000001100010000001000100000000010001000000100010000000010001000000100010000001010100100010101001000001001101100010101000000000110011010000101110100001111111111111111,30,61
11000001001100000010001000000001100010000001000100000000100001000000100010000000010001000000100010000001001100000010101001000001001100100010011001000000101011010001101110100001111111111111111,15,62
11000001000100000010001000000001110000000001000100000000010001000000100010000000010001000001000010000001000100100010001001000001001100100010011000000000111011010001101111000011111111101111111,60,60
11000010000100000010001000100001100010000010000100000000010001000010000010000000010001000000100010000001010100100000011001000001001100000010011000000000110111010001101110100011111111101111111,27,61
11000010000100000010010000000010100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,21,61
11000001000100000010001000000001110000000001000100000000010001000000100010000000010001000001000010000001000100100010001001000001010100100010011000000000111011010101101110100001111011111111111,17,60
11000010000100000010001000000010100010000001000100000000010001000000100010000000010001000000100010000001001100000010011001000001001100100010011000000000110111010001101110100111111111100111111,37,61
11000010000100000010001000000010100010000001000100000000010010000000100010000000010001000000100010000001010100100010011001000001001100100010011000000000110111010001101110100101111111110011111,31,61
11000001001000000010001000000001110000000001000100000000100001000000100010000000010001000000100010000001000100100010001001000001010100100010011000000000111011010001101111000011111111101111111,37,60
11000010000100000010001000000010100010000001000100000000010001000000100010000000010001000000100010000001010100100010011001000001001100100010101000000000110011010001101110100001111111111111111,20,61
11000010000100000010010000000001100010000001001000000000010001000000100100000000010001000000100010000001001100000011001001000001001100100010011000000000110111010001101111000111111111101111101,33,61
11000010000100000010001000000001100010000001000100000000010001000000100010000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,80,61
11000010000100000010001000000001100010000001000100000000010001000000100010000000010001000000100010000001010100100010011001000001001100100010011000000000110111010001101110100101111111110011111,34,61
11000001000100000010010000000001110000000001000100000000010001000000100010000000010001000001000010000001000100100010001001000001010100100010011000000000111011010101101110100001111011111111111,29,60
11000010000100000010010000000001100010000001001000000000010001000000100010000001000001000000100010000001010100000010011000100001001100110000011000000000110111010001101011000001111111110111111,32,59
11000010000100000010001000000010100010000001000100000000010001000000100010000000010001000000100010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,25,61
11000001000100000010010000000001110000000001000100000000100001000010000010000000100001000000100010000001000100100010001001000001001110000010011000000000111011100001110110100011111111101111111,26,60
11000010000100000010001000000010100010000001000100000000010001000001000010000000010001000000100010000001001100100010011001000001001100100010011001000000110111100001101110100001111111111111111,34,63
11000010000100000010010000000001100010000001000100000000010001000000100010000000010001000001000010000001010100100010011001000001001100100010011000000000110111010001101110100101111111110011111,40,61
11000010000100000010001000000100100010000001000100000000010001000000100100000000010001000001000010000001010100100010101001000001001100100010011000000000110011010001101111000011111111101111111,26,61
11000001000100000010010000100001100010000001000100000000100001000000100010000000010001000000100010000001000100100000011001000001001101000010011000000000111011010001100110100001111111111111111,3,60
11000001000100000010001000000001110000000001000100000000010001000000100010000000010001000001000010000001000100100010001001000001001100100010011100000000111011010101101110100001111011111111111,1,61
11000001000100000010010000100001100010000001000100000000010001000000100010000000010001000000100010000001000100000000011001000001001100100010101000000000110111010001101111000011111111101111111,3,60
11000001000100000010001000000001110000000001000100000000100001000000100010000000010001000000100100000001000100000010001001000001010100100010011000000000111011010001101111000011111111101111111,2,59
11000001000100000010001000000001110000000001000100000000010001000000100010000000010001000001000010000001000100100010001001000001001101100010011000000000111011010000101110100001111111111111111,1,60
