,bitstring,occurrences,rxn_count
0,111000010100100000100100000001001000100000010010010000010000010000010000010000010000100000001010000001001001100100010001000000001100110000011011001000000101011100001101010100001111111100111111,1,62
1,101000001100000000010001000000001000100000010001010000000010010000100000010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,36,60
2,101000001000100000010001000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,109,60
3,101000001100000000010001000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,69,60
4,101000001010000000010100000000001000100000010001010000000010010000001000010000000100001000001000100000001001100100010001011000001001101100010011001000000111011010001100110100101111111111111110,37,63
5,101000001010000000010010000000001000100000010001010000000010010000001000010000000010001000001000010000001001100100010101001000001001100100010011001000000111011000001101111000001111111111111111,22,62
6,101000001000100000010001000000001000100000010001010000000010001000001000010000001000001000000100110000001001100100010001001000001001100100010011000000000111011000001101111000001111111111111111,34,61
7,101000001000100000010001000000001000100000010001010000000010010000000100010000000010001000001000010000001001100100010001001000001001100100010101001000010111011010001101111000101101111110111111,30,62
8,101000001010000000010001000000001000100000011000010000000010010000000100010000000010001000001001010000001001100100010001000000001001100100010010001000000111011000001101111000001111111111111111,25,60
9,101000001100000000010001000000001000100000010001010000000010010000000100010000000010100000001000100000001001100100010101010000001001100100010011001000000110111010001101111000001111111111111111,38,63
10,101000001100000000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001010000001001100100010011000000000110111010001101110101001111111101111101,31,61
11,101000001100000000010001000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001000000001001100000010011001000000111011110001101110110001110111110111111,32,60
12,101000010000100000010001000000001000100000010001010000000010001000001000010000000010100000001000100000001001100100010001001000001001100100011011001000000111011010001101010100111111111101111101,24,62
13,101000001000100000010001000000001000100000010001010000000010010000000100010000000010001000000100110000001001100100010001000000001001100100010011000000000111011000001101111000001111111111111111,49,60
14,101000001100000000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001001000001010100100010011000000000111011000001101111000001111111111111111,34,61
15,101000001000100000010001000000001000100000010001010000000010001000000100010000000010001000001000010000001001100100010001001000001001100100010011001000000110111010001101110101001111111111101111,36,62
16,101000001100000000010001000000001000100000010001010000000010010000000100010000000010100000001000010000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,31,60
17,101000001100000000010001000000001000100000010001010000000010010000000100010000000010010000000100100000001001100100010101000000001001100100010011001000000111011000001101111000001111111111111111,27,61
18,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,35,60
19,101000001001000000010001000000001000100000010001010000000010010000000100100000000010001000000100100000001001100100010001010000001001100100010011001000000111011010001101111000001111111111111111,27,62
20,101000001000100000010001000000001000100000010001010000000010001000000000010000000101001000000100110000001001100100010001000000001001100100010011000000000111011100001101110000111111111101110111,28,60
21,101000001100000000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,75,60
22,101000010100100000010001000000001000100000010001010000000010010000001000010000000010001000001000110000001001100100010001000000001001100100010011000000000111011100001101111100011111011101111111,30,62
23,101000001100000000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001001000001001100100010011000000000111011000000101111000001111111111111111,29,60
24,101000001010000000010001000000001000100000010001010000000010001000010000010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,30,60
25,101000001000100000010010000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,35,60
26,101000010000100000010010000000001000100000010001010000000010010000001000010000000100001000000100110000001001100100010001000000001001100100010011000000000111011001001101111000001111101111111111,31,60
27,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001001000001010100100010011000000000111011000001101111000001111111111111111,4,61
28,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000001000010000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,1,60
29,101000001000100000010001000000001000100000010001010000000010010000100000010000000010001000000100100000001001100100010001000000001001100100010011001000000111011000001101111000001111111111111111,1,60
30,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001010000001001100100010011000000000110111010001101110101001111111101111101,3,61
31,101000001000100000010001000000001000100000010001010000000010010000000100100000000010001000000100100000001001100100010001010000001001100100010011001000000111011010001101111000001111111111111111,2,62
32,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000001000100000001001100100010101010000001001100100010011001000000110111010001101111000001111111111111111,1,63
33,101000001000100000010001000000001000100000010001010000000010010000000100010000000010100000000100110000001001100100010001001000001001100100010011000000000111011000000101111000001111111111111111,1,60
34,101000001000100000010001000000001000100000010001010000000010001000000000010000000101001000000100110000001001100100010001000000001001100100010011000000001111011100001101110010111110111100110111,1,60
